Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
bouee-bebe-parasol-couleur-blanc,Bouée pour bébé parasol de couleur blanc,"<h2>Description du Produit</h2>
<p>La Bouée pour bébé parasol de couleur blanc est l'accessoire indispensable pour une journée ensoleillée et relaxante avec votre enfant. Conçue avec des matériaux spécialement sélectionnés, cette bouée assure sécurité et confort pendant les activités aquatiques. </p>
<ul>
<li>🛡️ Sécurité et Confort: Conçu pour garantir la sécurité et le confort de votre enfant pendant les activités de natation.</li>
<li>🌞 Protection Solaire: Le parasol intégré offre de l'ombre, protégeant votre bébé des rayons directs du soleil et réduisant ainsi le risque de coup de soleil.</li>
<li>👌 Facilité d'Utilisation: Conçu pour être simple à utiliser, facilitant l'installation et la sortie de votre bébé dans la bouée.</li>
<li>💪 Durabilité: Fabriqué à partir de matériaux de haute qualité qui garantissent une utilisation durable, offrant un bon rapport qualité-prix.</li>
</ul>
<h2>Caractéristiques techniques</h2>
<ul>
<li>
<strong>Couleur :</strong> Blanc</li>
<li>
<strong>Matériaux utilisés :</strong> Matériaux spécialement sélectionnés</li>
</ul>",Jouets & éveil,,"",bouée,true,Title,Default Title,,,,,,,,,0.0,shopify,1000,continue,manual,29.90,,true,true,,https://cdn.shopify.com/s/files/1/0926/6413/6028/files/telechargement-24-1.jpg?v=1749468968,1,"",false,,,,,,,,,,,,,,,kg,,,active
bouee-bebe-parasol-couleur-blanc,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0926/6413/6028/files/65155-4e27cc.jpg?v=1749468968,2,"",,,,,,,,,,,,,,,,,,,
bouee-bebe-parasol-couleur-blanc,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0926/6413/6028/files/telechargement-22-1.jpg?v=1749468968,3,"",,,,,,,,,,,,,,,,,,,
bouee-bebe-parasol-couleur-blanc,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0926/6413/6028/files/telechargement-23_cleanup.jpg?v=1749468968,4,"",,,,,,,,,,,,,,,,,,,
bouee-bebe-parasol-couleur-blanc,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0926/6413/6028/files/telechargement-21_cleanup.jpg?v=1749468968,5,"",,,,,,,,,,,,,,,,,,,
bouee-bebe-parasol-couleur-blanc,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0926/6413/6028/files/telechargement-20_cleanup.jpg?v=1749468968,6,"",,,,,,,,,,,,,,,,,,,
tetine-silicone-qualite-alimentaire-bebe,Tétine en silicone de qualité alimentaire pour bébé,"<h2>Description du Produit</h2>
<p>Offrez à votre bébé le meilleur départ avec notre tétine en silicone de qualité alimentaire ! Conçue avec soin pour un développement oral sain, sa forme orthodontique soutient la croissance dentaire tout en offrant un confort inégalé.</p>
<ul>
<li>🦷 Développement sain et sécurisé : La forme orthodontique soutient le développement dentaire et oral approprié.</li>
<li>🌟 Matériau de qualité supérieure : Fabriqué en silicone de qualité alimentaire, garantissant la sécurité pour les bébés.</li>
<li>👶 Confort optimal : Conçu pour s'adapter parfaitement à la bouche du bébé, offrant confort et réduisant l'irritabilité.</li>
</ul>
<h2>Caractéristiques techniques</h2>
<ul>
<li>
<strong>Matière :</strong> Silicone de qualité alimentaire</li>
<li>
<strong>Forme :</strong> Design orthodontique</li>
<li>
<strong>Sécurité :</strong> S'adapte à la physiologie de la bouche du bébé, favorisant un développement oral sain</li>
</ul>",Puériculture & soins bébé,Uncategorized,"",Tétine,true,Couleur,Vert,,,,,,,,,0.0,shopify,1000,continue,manual,9.99,,true,true,,https://cdn.shopify.com/s/files/1/0926/6413/6028/files/33123-uxrkoy.jpg?v=1749468955,1,"",false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0926/6413/6028/files/33123-uxrkoy.jpg?v=1749468955,kg,,,active
tetine-silicone-qualite-alimentaire-bebe,,,,,,,,,Violet,,,,,,,,,0.0,shopify,1000,continue,manual,9.99,,true,true,,https://cdn.shopify.com/s/files/1/0926/6413/6028/files/33124-xy1hyd.jpg?v=1749468955,2,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0926/6413/6028/files/33124-xy1hyd.jpg?v=1749468955,kg,,,
tetine-silicone-qualite-alimentaire-bebe,,,,,,,,,Bleu,,,,,,,,,0.0,shopify,1000,continue,manual,9.99,,true,true,,https://cdn.shopify.com/s/files/1/0926/6413/6028/files/33125-k0oc8h.jpg?v=1749468955,3,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0926/6413/6028/files/33125-k0oc8h.jpg?v=1749468955,kg,,,
tetine-silicone-qualite-alimentaire-bebe,,,,,,,,,Rose,,,,,,,,,0.0,shopify,1000,continue,manual,9.99,,true,true,,https://cdn.shopify.com/s/files/1/0926/6413/6028/files/33126-hbyrl1.jpg?v=1749468955,4,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0926/6413/6028/files/33126-hbyrl1.jpg?v=1749468955,kg,,,
tetine-silicone-qualite-alimentaire-bebe,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0926/6413/6028/files/33122-ymlars.jpg?v=1749468955,5,"",,,,,,,,,,,,,,,,,,,
lunettes-soleil-ete-bebe,Lunettes de soleil d’été pour bébé,"<h2>Description du Produit</h2>
<p>Protégez les yeux délicats de votre bébé cet été avec nos adorables Lunettes de soleil d’été pour bébé ! Conçues pour offrir une protection UV totale, ces lunettes permettent à votre tout-petit de profiter des activités en plein air sans souci.</p>
<ul>
<li>🌞 <strong>Protection UV :</strong> Les verres offrent une protection complète contre les rayons UVA et UVB nocifs, protégeant les yeux de votre bébé des dommages potentiels du soleil.</li>
<li>😌 <strong>Confort optimal :</strong> La monture légère et flexible assure un ajustement confortable qui n'irrite pas la peau sensible.</li>
<li>💪 <strong>Durabilité :</strong> Fabriquées à partir de matériaux robustes capables de résister aux activités tumultueuses d'un bébé actif.</li>
<li>👶 <strong>Design stylé :</strong> Ces lunettes de soleil ajoutent une touche de style à la tenue estivale de votre bébé tout en fournissant une protection essentielle pour les yeux.</li>
</ul>
<h2>Caractéristiques techniques</h2>
<ul>
<li>
<strong>Taille :</strong> Ajustée sur mesure pour les bébés</li>
<li>
<strong>Matériaux utilisés :</strong> Matériaux de haute qualité et sûrs pour les bébés</li>
<li>
<strong>Protection UV :</strong> Verres bloquant 100% des UV</li>
<li>
<strong>Design de la monture :</strong> Monture légère et flexible pour un ajustement confortable</li>
</ul>",Vêtements & Accessoires,Uncategorized,"",lunettes de soleil,true,Couleur,Orange,,,,,,,,,0.0,shopify,1000,continue,manual,9.99,,true,true,,https://cdn.shopify.com/s/files/1/0926/6413/6028/files/28226-8905de.jpg?v=1749468945,1,"",false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0926/6413/6028/files/28226-8905de.jpg?v=1749468945,kg,,,active
lunettes-soleil-ete-bebe,,,,,,,,,Marron,,,,,,,,,0.0,shopify,1000,continue,manual,9.99,,true,true,,https://cdn.shopify.com/s/files/1/0926/6413/6028/files/28226-9b3623_294e6c23-29fa-4f0c-bc47-375829359e35.jpg?v=1749468945,2,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0926/6413/6028/files/28226-9b3623_294e6c23-29fa-4f0c-bc47-375829359e35.jpg?v=1749468945,kg,,,
lunettes-soleil-ete-bebe,,,,,,,,,Jaune,,,,,,,,,0.0,shopify,1000,continue,manual,9.99,,true,true,,https://cdn.shopify.com/s/files/1/0926/6413/6028/files/28226-75f5ec_c3667ac0-40e0-4992-98fd-ca80108128cd.jpg?v=1749468945,3,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0926/6413/6028/files/28226-75f5ec_c3667ac0-40e0-4992-98fd-ca80108128cd.jpg?v=1749468945,kg,,,
sucette-luxe-motif-dessin-anime-bebe,Sucette de luxe à motif de dessin animé pour bébé,"<h2>Description du Produit</h2>
<p>La Sucette de luxe à motif de dessin animé pour bébé est le choix idéal pour les parents soucieux de la santé et du confort de leur enfant. Fabriquée en silicone doux, cette sucette ergonomique offre une prise en main confortable et réduit l'irritation.</p>
<ul>
<li>🛡️ Santé &amp; Sécurité : Fabriqué en silicone doux, cette sucette évite les dangers potentiels des sucettes en plastique, assurant la santé de votre bébé.</li>
<li>💤 Confort : Le design ergonomique offre une prise confortable pour les bébés, réduisant l'inconfort et l'irritation.</li>
<li>🧼 Facilité de Nettoyage : Le matériau en silicone doux est facile à nettoyer, garantissant hygiène et commodité pour les parents occupés.</li>
<li>🎨 Attrait Esthétique : Les motifs de dessin animé charmants rendent la sucette visuellement attrayante, ajoutant une touche de fun à ses avantages pratiques.</li>
</ul>
<h2>Caractéristiques techniques</h2>
<ul>
<li>
<strong>Matière :</strong> Silicone souple</li>
<li>
<strong>Design :</strong> Forme ergonomique avec motifs de dessin animé</li>
<li>
<strong>Entretien :</strong> Facile à nettoyer et à entretenir</li>
</ul>",Puériculture & soins bébé,Uncategorized,"",Tétine,true,Couleur,Jaune,,,,,,,,,0.0,shopify,1000,continue,manual,9.99,,true,true,,https://cdn.shopify.com/s/files/1/0926/6413/6028/files/23841-fxeuiw.jpg?v=1749468938,1,"",false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0926/6413/6028/files/23841-fxeuiw.jpg?v=1749468938,kg,,,active
sucette-luxe-motif-dessin-anime-bebe,,,,,,,,,Rose,,,,,,,,,0.0,shopify,1000,continue,manual,9.99,,true,true,,https://cdn.shopify.com/s/files/1/0926/6413/6028/files/23844-q5psvo.jpg?v=1749468938,2,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0926/6413/6028/files/23844-q5psvo.jpg?v=1749468938,kg,,,
sucette-luxe-motif-dessin-anime-bebe,,,,,,,,,Blanc,,,,,,,,,0.0,shopify,1000,continue,manual,9.99,,true,true,,https://cdn.shopify.com/s/files/1/0926/6413/6028/files/23846-rdy9wn.jpg?v=1749468938,3,"",,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0926/6413/6028/files/23846-rdy9wn.jpg?v=1749468938,kg,,,
